Team,ForAgainst,Date,Venue,Result,GF,GA,Sh_Standard,SoT_percent_Standard,Dist_Standard,G_minus_xG_Expected,Opponent,xGF,xGA,opp_elo_pre,elo_pre,coach,within_season_change
Bayer Leverkusen,For,2017-08-18 00:00:00,Away,L,1,3,19,21.1,17.8,-0.6,Bayern Munich,1.6,2.6,1500,1500,Heiko Herrlich,FALSE
Bayer Leverkusen,For,2017-08-26 00:00:00,Home,D,2,2,16,12.5,20.9,-0.2,Hoffenheim,2.2,0.9,1510,1490,Heiko Herrlich,FALSE
Bayer Leverkusen,For,2017-09-09 00:00:00,Away,L,1,3,13,15.4,18.8,0.2,Mainz 05,0.8,1.2,1480,1490.575011,Heiko Herrlich,FALSE
Bayer Leverkusen,For,2017-09-17 00:00:00,Home,W,4,0,22,40.9,17.6,2.1,Freiburg,1.9,0.5,1490.581806,1480.270732,Heiko Herrlich,FALSE
Bayer Leverkusen,For,2017-09-20 00:00:00,Away,L,1,2,12,33.3,23.1,0.5,Hertha BSC,0.5,0.3,1500.024278,1490.567421,Heiko Herrlich,FALSE
Bayer Leverkusen,For,2017-09-24 00:00:00,Home,W,3,0,17,35.3,16.3,0.6,Hamburger SV,2.4,0.6,1489.999042,1480.839544,Heiko Herrlich,FALSE
Bayer Leverkusen,For,2017-09-29 00:00:00,Away,D,1,1,10,60,20,0,Schalke 04,1,0.8,1499.69732,1491.103115,Heiko Herrlich,FALSE
Bayer Leverkusen,For,2017-10-15 00:00:00,Home,D,2,2,17,52.9,15.1,-0.3,Wolfsburg,2.3,1,1490.88177,1491.350426,Heiko Herrlich,FALSE
Bayer Leverkusen,For,2017-10-28 00:00:00,Home,W,2,1,17,29.4,16.7,0.3,Koln,1.7,0.9,1438.485081,1502.150955,Heiko Herrlich,FALSE
Bayer Leverkusen,For,2017-11-04 00:00:00,Away,D,1,1,10,30,14.8,0.2,Augsburg,0.8,1.7,1509.404844,1510.338742,Heiko Herrlich,FALSE
Bayern Munich,For,2017-08-18 00:00:00,Home,W,3,1,12,58.3,16.9,0.4,Bayer Leverkusen,2.6,1.6,1500,1500,Carlo Ancelotti,FALSE
Bayern Munich,For,2017-08-26 00:00:00,Away,W,2,0,19,42.1,19.8,0.5,Werder Bremen,1.5,0.3,1490,1510,Carlo Ancelotti,FALSE
Bayern Munich,For,2017-09-09 00:00:00,Away,L,0,2,23,26.1,16.6,-1.9,Hoffenheim,1.9,0.6,1509.424989,1519.424989,Carlo Ancelotti,FALSE
Bayern Munich,For,2017-09-16 00:00:00,Home,W,4,0,28,46.4,15.6,0.2,Mainz 05,3.8,0.8,1490.304279,1509.137245,Carlo Ancelotti,FALSE
Bayern Munich,For,2017-09-19 00:00:00,Away,W,3,0,12,58.3,16.6,0.7,Schalke 04,2.3,1.2,1519.171063,1518.595719,Carlo Ancelotti,FALSE
Bayern Munich,For,2017-09-22 00:00:00,Home,D,2,2,18,11.1,18.3,-0.4,Wolfsburg,2.4,0.8,1490.007926,1528.612279,Carlo Ancelotti,FALSE
Bayern Munich,For,2017-10-21 00:00:00,Away,W,1,0,21,19,18.1,-1.3,Hamburger SV,2.3,0.2,1469.641973,1535.711801,Jupp Heynckes,FALSE
Bayern Munich,For,2017-10-28 00:00:00,Home,W,2,0,23,30.4,18.3,-0.2,RB Leipzig,2.2,0.3,1538.785376,1543.832754,Jupp Heynckes,FALSE
Bayern Munich,For,2017-11-04 00:00:00,Away,W,3,1,10,50,17.7,1.9,Dortmund,1.1,2.1,1532.511173,1553.687489,Jupp Heynckes,FALSE
Bayern Munich,For,2017-11-18 00:00:00,Home,W,3,0,17,29.4,16.9,1,Augsburg,2,0.3,1509.431724,1563.07874,Jupp Heynckes,FALSE
